pixel,gal_lon,gal_lat,weight,str_used
304,106.53036,-1.4987475,1.4826856,1
305,109.266815,-1.1081003,1.7107456,1
306,106.97779,1.7733079,1.075235,1
307,109.38647,1.6816785,2.1111622,1
308,111.350266,-1.1324927,1.3364125,1
309,113.729935,-1.2152424,1.5040468,1
310,111.51861,1.3232152,1.2321371,1
311,114.167625,1.5981259,1.5576096,1
312,107.2599,4.4395065,1.8557537,1
313,109.37001,4.2183704,1.9142805,1
314,107.48729,7.0689554,2.3645747,1
315,110.02698,7.0064836,1.591141,1
316,112.11722,4.4101377,1.8252543,1
317,114.71741,4.4716663,1.2874261,1
318,112.4901,7.16315,1.3261142,1
319,115.053856,6.919967,2.1854906,1
320,114.70383,-12.957512,1.4920642,1
321,117.156876,-12.682547,1.5477737,1
322,115.145004,-9.772694,1.5017141,1
323,117.283844,-9.714157,1.1916502,1
324,119.11808,-12.400877,0.9920418,1
325,121.53196,-12.357702,1.4973128,1
326,119.64178,-9.536829,1.507741,1
327,122.1518,-9.624695,0.93333286,1
328,115.32029,-6.829746,1.2905877,1
329,117.83521,-6.79147,1.6390612,1
330,115.97238,-3.9924033,1.705491,1
331,118.04096,-4.1481314,1.2974126,1
332,120.23674,-6.992527,1.1370034,1
333,122.96449,-6.305568,0.8622275,1
334,120.94587,-3.5425293,1.049373,1
335,123.43537,-3.8909054,1.3971002,1
336,123.95135,-12.234589,0.90746254,1
337,126.623795,-11.494013,0.7000362,1
338,124.79524,-9.074686,0.81995165,1
339,127.16517,-8.902531,1.4306259,1
340,129.20842,-11.386653,1.5945705,1
341,131.753,-11.32307,1.6474541,1
342,129.9037,-8.845444,1.7840611,1
343,132.37244,-8.83756,0.88681746,1
344,125.30388,-6.5529275,1.4404204,1
345,127.992546,-6.4062,1.7825009,1
346,125.87075,-3.9187589,1.9862951,1
347,128.73363,-3.9884665,0.9227869,1
348,130.73088,-6.4221025,1.0409273,1
349,133.22548,-6.44243,0.88199437,1
350,130.99362,-4.2375226,0.985651,1
351,134.64378,-3.870534,0.82933325,1
352,116.07676,-1.507222,1.3791865,1
353,119.15259,-0.7389143,0.97926235,1
354,117.01686,1.8394299,0.94585925,1
355,119.216385,1.4434528,1.6269312,1
356,121.4341,-1.1808009,1.6356947,1
357,123.764565,-1.3913714,1.9220802,1
358,121.648766,1.2895392,1.7060227,1
359,124.348694,1.2972885,1.2638999,1
360,117.14025,4.2266827,1.8251115,1
361,119.536095,3.8683503,1.8587886,1
362,117.62439,6.837802,1.754083,1
363,119.9161,6.455285,1.2177855,1
364,122.33281,3.7783556,1.3363189,1
365,125.11146,3.7208583,1.2871329,1
366,122.85466,6.313041,1.4530076,1
367,125.53378,5.8812413,0.89347464,1
368,126.39583,-1.3603494,1.0804671,1
